                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8967,                 3.5484,                 1.7044,                0.00346,                0.73423,                0.05048,                0.01901,                 2.3385,                 4.7888,                 2.0848,             0.00064762,             0.00064762,             0.00064762
                      1,                 1.9757,                 2.9676,                 1.7573,                0.04322,                0.08559,                0.01313,                0.00403,                  2.632,                 11.795,                 3.9851,              0.0013099,              0.0013099,              0.0013099
                      2,                 2.0946,                 2.9075,                 1.8995,                0.12801,                0.15766,                0.05105,                0.01493,                 2.8711,                 3.8983,                 2.8968,              0.0019679,              0.0019679,              0.0019679
                      3,                 2.1203,                 2.8194,                 1.9426,                0.14668,                0.22523,                0.08982,                0.02784,                 2.5537,                 6.0384,                 2.6561,              0.0019802,              0.0019802,              0.0019802
                      4,                 2.1033,                 2.6093,                 1.9042,                 0.0724,                0.27928,                0.04206,                0.01331,                 2.6898,                 14.201,                 3.7856,              0.0019802,              0.0019802,              0.0019802
                      5,                 2.0542,                 2.5139,                 1.9183,                0.15523,                0.27027,                0.08857,                0.03199,                 2.5866,                 5.0815,                 2.6151,              0.0019736,              0.0019736,              0.0019736
                      6,                 1.9824,                  2.386,                 1.8703,                0.08907,                0.20721,                0.04591,                0.01643,                 2.3085,                 8.1305,                 2.3995,               0.001967,               0.001967,               0.001967
                      7,                 2.0444,                 2.3526,                  1.859,                0.12589,                 0.1036,                0.03203,                0.00959,                 2.9408,                 4.6701,                 2.7093,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.9169,                 2.2883,                 1.7551,                0.04568,                 0.0991,                0.01236,                0.00404,                 2.7012,                 4.6407,                 2.8051,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.8877,                  2.145,                 1.7672,                0.36383,                0.30141,                0.28777,                0.12645,                 2.0207,                 3.2908,                 1.9901,              0.0019472,              0.0019472,              0.0019472
                     10,                  1.849,                 2.1377,                 1.7157,                0.18752,                0.09009,                0.06365,                0.02514,                 2.4935,                 4.8184,                 2.4957,              0.0019406,              0.0019406,              0.0019406
                     11,                 1.8754,                 2.0984,                 1.7329,                0.28457,                0.22973,                0.18801,                0.08264,                 2.1032,                  2.776,                 2.1035,               0.001934,               0.001934,               0.001934
                     12,                 1.8649,                 2.1162,                 1.7351,                0.34925,                0.27561,                0.27037,                0.11219,                 2.1167,                 2.3065,                  2.047,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.8764,                 2.1302,                 1.7499,                  0.414,                 0.4009,                0.41217,                0.17299,                 1.9185,                 2.2399,                 1.8719,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.8031,                 1.9827,                 1.6874,                0.45654,                0.31081,                0.33713,                0.12378,                 2.0989,                 2.1612,                 1.9985,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.8242,                 2.0115,                 1.7086,                0.44615,                0.42342,                0.40692,                 0.1817,                  1.979,                 2.0588,                 1.8793,              0.0019076,              0.0019076,              0.0019076
                     16,                 1.7928,                 1.9762,                 1.6665,                0.47214,                0.37068,                0.37166,                0.16037,                 2.0559,                 2.2841,                 2.0032,               0.001901,               0.001901,               0.001901
                     17,                 1.8294,                  1.975,                 1.6619,                0.53813,                0.30631,                0.35637,                0.15052,                 1.9942,                 2.1115,                 1.8467,              0.0018944,              0.0018944,              0.0018944
                     18,                 1.7322,                 1.9493,                 1.6125,                0.49173,                0.37838,                0.36341,                0.16465,                 1.8961,                 2.1401,                 1.7932,              0.0018878,              0.0018878,              0.0018878
                     19,                  1.746,                 1.9305,                 1.6632,                0.51314,                0.40991,                0.45305,                 0.2034,                 1.8519,                 2.4686,                 1.7278,              0.0018812,              0.0018812,              0.0018812
                     20,                 1.7411,                 1.8551,                  1.606,                0.31372,                0.13063,                0.13609,                0.06068,                  2.264,                 4.4106,                 2.3024,              0.0018746,              0.0018746,              0.0018746
                     21,                 1.6943,                  1.821,                 1.6183,                0.48799,                 0.5045,                 0.5057,                0.24151,                 1.7866,                 1.7762,                 1.6857,               0.001868,               0.001868,               0.001868
                     22,                 1.6607,                 1.7458,                 1.5664,                0.46466,                0.54054,                0.53049,                0.24015,                 1.8195,                 1.8082,                 1.7027,              0.0018614,              0.0018614,              0.0018614
                     23,                 1.7107,                  1.789,                 1.6048,                 0.3527,                0.26577,                 0.2309,                0.09013,                 2.1568,                 2.7245,                 2.1126,              0.0018548,              0.0018548,              0.0018548
                     24,                 1.6877,                 1.8652,                 1.5864,                0.52766,                 0.4378,                0.45566,                0.21281,                 1.8374,                 1.9957,                 1.7543,              0.0018482,              0.0018482,              0.0018482
                     25,                 1.6377,                 1.7659,                  1.545,                0.50898,                 0.4955,                0.51745,                0.25822,                 1.7134,                 1.7432,                 1.6963,              0.0018416,              0.0018416,              0.0018416
                     26,                  1.703,                 1.7601,                 1.6096,                 0.4925,                0.42793,                0.44708,                 0.2098,                 1.8442,                  2.007,                 1.7643,               0.001835,               0.001835,               0.001835
                     27,                 1.7346,                 1.8368,                 1.6068,                0.37163,                0.34234,                0.34051,                0.14464,                 2.0413,                 2.2351,                  1.982,              0.0018284,              0.0018284,              0.0018284
                     28,                 1.7282,                 1.8388,                 1.6284,                0.37511,                0.32432,                0.27864,                 0.1236,                 2.0527,                 2.5618,                 1.9986,              0.0018218,              0.0018218,              0.0018218
                     29,                 1.6221,                 1.7505,                 1.5637,                0.55224,                 0.5045,                0.58234,                 0.2916,                 1.6451,                 1.7127,                 1.6547,              0.0018152,              0.0018152,              0.0018152
                     30,                 1.6456,                 1.7543,                 1.5794,                0.44415,                0.39189,                0.37248,                0.16964,                 1.9501,                 2.3414,                 1.9448,              0.0018086,              0.0018086,              0.0018086
                     31,                 1.6393,                 1.7301,                 1.5979,                 0.5388,                0.53604,                0.50922,                0.24219,                 1.8486,                 1.8841,                 1.7655,               0.001802,               0.001802,               0.001802
                     32,                 1.6825,                 1.7983,                 1.5787,                0.58239,                0.46847,                0.55708,                0.26418,                 1.8383,                 1.6916,                 1.7267,              0.0017954,              0.0017954,              0.0017954
                     33,                 1.6025,                   1.74,                 1.5214,                0.53281,                0.47297,                0.53791,                0.26942,                 1.6932,                 1.7521,                 1.6629,              0.0017888,              0.0017888,              0.0017888
                     34,                 1.6206,                 1.7172,                  1.547,                0.41682,                0.42342,                0.40314,                0.18304,                 1.9848,                 2.2977,                 1.9802,              0.0017822,              0.0017822,              0.0017822
                     35,                 1.6418,                 1.7477,                 1.5702,                0.50762,                0.46439,                0.49624,                0.21359,                 1.9039,                  1.807,                 1.7784,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.5544,                 1.6618,                 1.5041,                 0.6184,                 0.5045,                0.56587,                0.27543,                 1.7984,                  1.642,                 1.6774,               0.001769,               0.001769,               0.001769
                     37,                 1.5599,                 1.6515,                 1.4935,                0.56885,                0.55865,                0.57397,                0.28673,                 1.7938,                 1.6997,                 1.7207,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.6064,                 1.6655,                 1.5316,                0.45689,                0.52703,                  0.483,                 0.2208,                 1.8181,                 1.7968,                 1.7327,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.5637,                 1.6427,                 1.5134,                 0.6149,                0.59698,                0.64427,                0.34723,                 1.5836,                 1.4951,                 1.5558,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.5932,                 1.6317,                 1.4932,                0.49797,                0.49596,                0.47893,                0.23405,                 1.8336,                 1.8912,                 1.7546,              0.0017426,              0.0017426,              0.0017426
                     41,                  1.568,                 1.6288,                 1.4799,                0.50663,                 0.5045,                0.50376,                0.23739,                 1.8094,                 1.8874,                 1.6684,               0.001736,               0.001736,               0.001736
                     42,                  1.525,                 1.5933,                 1.4759,                0.63914,                0.54054,                0.64406,                0.32678,                 1.7047,                  1.538,                 1.5929,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.5596,                 1.6046,                 1.4951,                0.42149,                0.35773,                0.38044,                0.18925,                  1.924,                 2.4076,                 1.8943,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.4911,                 1.5228,                 1.4332,                0.58479,                0.57207,                0.63967,                 0.3286,                 1.6011,                 1.5659,                 1.5275,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.5205,                  1.592,                 1.4674,                0.52841,                0.35135,                0.39081,                0.16736,                 2.0265,                 2.2062,                 1.9909,              0.0017096,              0.0017096,              0.0017096
                     46,                 1.5467,                 1.6324,                 1.4955,                0.60583,                0.47771,                0.54228,                0.28235,                 1.6967,                 1.7682,                 1.6341,               0.001703,               0.001703,               0.001703
                     47,                 1.5232,                 1.5772,                 1.4626,                 0.5786,                0.54505,                0.56266,                0.27396,                 1.7059,                 1.6304,                 1.5964,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.4969,                 1.5155,                 1.4339,                0.65913,                0.50901,                0.57889,                0.31749,                 1.6283,                 1.6521,                 1.5882,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.4941,                 1.4953,                 1.4384,                0.52347,                0.59459,                0.57003,                0.31004,                 1.6118,                 1.5985,                  1.555,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.5245,                 1.5622,                 1.4527,                0.56936,                 0.5045,                0.52782,                 0.2801,                  1.747,                 1.8385,                 1.7108,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.4867,                 1.5454,                 1.4445,                0.53506,                0.40541,                0.44255,                0.22002,                 1.8488,                 1.9114,                 1.7583,                0.00167,                0.00167,                0.00167
                     52,                 1.4641,                 1.5146,                 1.4374,                0.62607,                 0.6036,                0.64785,                0.35139,                 1.5666,                 1.4178,                  1.527,              0.0016634,              0.0016634,              0.0016634
                     53,                  1.443,                 1.4859,                 1.4303,                0.64406,                0.62162,                0.65807,                0.35232,                 1.6165,                 1.4845,                 1.5774,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.5284,                 1.5675,                 1.4468,                0.63189,                0.61085,                0.65749,                0.35451,                 1.5787,                 1.4397,                 1.5364,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.4679,                 1.5122,                  1.429,                0.56501,                0.51488,                0.55274,                0.26299,                 1.6868,                 1.6005,                 1.6012,              0.0016436,              0.0016436,              0.0016436
                     56,                   1.46,                 1.5042,                 1.4412,                 0.6273,                0.58559,                0.63771,                0.36098,                 1.5641,                 1.4767,                 1.5386,               0.001637,               0.001637,               0.001637
                     57,                 1.4907,                 1.5604,                  1.463,                0.63487,                0.47776,                0.54119,                0.27284,                 1.7232,                 1.8812,                 1.6216,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.4847,                 1.5271,                 1.4557,                0.59459,                0.62162,                0.62198,                0.31884,                  1.697,                  1.607,                 1.6142,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.4455,                 1.4813,                 1.4125,                0.64449,                0.64865,                0.70193,                0.39239,                 1.5276,                 1.4024,                 1.4713,              0.0016172,              0.0016172,              0.0016172
